id;matricule;id_bu;id_role;email;id_poste
1;30814;16139;80070;Shania_Keebler14@yahoo.com;24556
2;20404;95176;96393;Delores32@gmail.com;55088
3;20214;13757;29234;Arianna.Crooks@yahoo.com;74469
4;9039;41619;45825;Ansel.Kassulke@yahoo.com;48466
5;63227;58915;91142;Jensen_Krajcik@yahoo.com;74555
6;13739;52096;63060;Luciano_Bosco98@yahoo.com;17520
7;69583;55034;25841;Randi.Davis@yahoo.com;27074
8;87950;38298;87191;Serena94@gmail.com;49117
9;39783;49882;86642;Frederick.Krajcik@yahoo.com;84765
10;43067;46725;88960;Sydnee7@gmail.com;43179
