id;email;token;date_creation;valide
1;Hans_Huels@hotmail.com;Mountain;2021-02-16;false
2;Kristy.Collier4@hotmail.com;national;2021-02-15;false
3;Kassandra.Deckow30@gmail.com;copying transmitter;2021-02-16;false
4;Laverna78@yahoo.com;back-end back-end Incredible Frozen Chicken;2021-02-16;false
5;Laurie86@yahoo.com;visionary;2021-02-16;false
6;Bulah95@gmail.com;Borders withdrawal;2021-02-15;true
7;Lupe_Buckridge90@yahoo.com;Bike;2021-02-16;true
8;Salvador19@yahoo.com;FTP application;2021-02-16;true
9;Allene.Dare85@gmail.com;grow optical Up-sized;2021-02-15;true
10;Mathilde92@hotmail.com;Intelligent Fresh Sausages Licensed Fresh Tuna Incredible;2021-02-15;false
