id;email;num_cin;with_appel_visio;with_certif;with_signature;date_appel_visio
1;Kennedi_Yundt@gmail.com;maroon;O;O;N;2021-05-04
2;Savannah_Mohr@hotmail.com;Object-based Dynamic Shoes;O;N;N;2021-05-04
3;Candido44@yahoo.com;Cambridgeshire;O;O;N;2021-05-04
4;General.Graham71@yahoo.com;Direct;O;N;O;2021-05-04
5;Adrien_Swaniawski@yahoo.com;hub orchid panel;N;O;N;2021-05-04
6;Americo.Lesch@hotmail.com;optimize matrices;O;O;O;2021-05-04
7;Amely13@yahoo.com;Compatible;N;O;O;2021-05-04
8;Nasir27@yahoo.com;Garden Associate Rustic Metal Cheese;N;N;N;2021-05-04
9;Kenna.Gibson77@gmail.com;District;N;O;N;2021-05-04
10;Kathryne56@hotmail.com;Baby;O;N;O;2021-05-04
